ID,Type,Movie_number,Fly_number,Other_number,Difference_x,Difference_y,Distance
183,Dmelanogaster,1,12,9,-50.70584496,15.3943494,52.99121348
184,Dmelanogaster,1,13,9,-72.75925023,-24.36711233,76.73111922
185,Dmelanogaster,1,14,9,-57.35348158,44.85876284,72.81298272
186,Dmelanogaster,1,15,9,-63.17590449,55.21514939,83.90415741
187,Dmelanogaster,1,16,9,-51.26941761,36.33176566,62.83749182
188,Dmelanogaster,1,17,9,-33.10777867,-14.37004515,36.09187175
189,Dmelanogaster,1,18,9,-35.63628214,-35.77646013,50.49653161
190,Dmelanogaster,1,19,9,-29.53581865,-41.88257588,51.2495341
191,Dmelanogaster,1,0,10,14.3529241,-11.39721036,18.32765217
192,Dmelanogaster,1,1,10,4.639777233,-6.405221055,7.909133298
193,Dmelanogaster,1,2,10,-9.50132526,-27.63449923,29.22226427
194,Dmelanogaster,1,3,10,-45.0352157,51.73332042,68.5894095
195,Dmelanogaster,1,4,10,-48.10344704,-48.5918216,68.37475224
196,Dmelanogaster,1,5,10,4.708086411,-2.38746027,5.278829812
197,Dmelanogaster,1,6,10,-54.33600296,55.87978525,77.94197596
198,Dmelanogaster,1,7,10,3.668209956,-9.692900365,10.36378704
199,Dmelanogaster,1,8,10,-24.89482158,11.54961687,27.44350181
200,Dmelanogaster,1,9,10,17.27156641,-0.051527295,17.27164327
201,Dmelanogaster,1,11,10,6.634685807,38.25915707,38.83017068
202,Dmelanogaster,1,12,10,-33.43427855,15.34282211,36.78658957
203,Dmelanogaster,1,13,10,-55.48768382,-24.41863963,60.62304031
204,Dmelanogaster,1,14,10,-40.08191517,44.80723554,60.11861842
205,Dmelanogaster,1,15,10,-45.90433808,55.1636221,71.76512703
206,Dmelanogaster,1,16,10,-33.9978512,36.28023837,49.72031358
207,Dmelanogaster,1,17,10,-15.83621226,-14.42157245,21.41885549
208,Dmelanogaster,1,18,10,-18.36471573,-35.82798743,40.26049512
209,Dmelanogaster,1,19,10,-12.26425224,-41.93410318,43.69074149
210,Dmelanogaster,1,0,11,7.718238289,-49.65636742,50.2526221
211,Dmelanogaster,1,1,11,-1.994908574,-44.66437812,44.70890664
212,Dmelanogaster,1,2,11,-16.13601107,-65.89365629,67.84058367
213,Dmelanogaster,1,3,11,-51.6699015,13.47416336,53.39786325
214,Dmelanogaster,1,4,11,-54.73813285,-86.85097867,102.6613641
215,Dmelanogaster,1,5,11,-1.926599396,-40.64661734,40.69225093
216,Dmelanogaster,1,6,11,-60.97068876,17.62062818,63.4658288
217,Dmelanogaster,1,7,11,-2.966475851,-47.95205743,48.0437279
218,Dmelanogaster,1,8,11,-31.52950739,-26.70954019,41.32202044
219,Dmelanogaster,1,9,11,10.63688061,-38.31068436,39.75992663
220,Dmelanogaster,1,10,11,-6.634685807,-38.25915707,38.83017068
221,Dmelanogaster,1,12,11,-40.06896435,-22.91633496,46.1592928
222,Dmelanogaster,1,13,11,-62.12236962,-62.6777967,88.24791786
223,Dmelanogaster,1,14,11,-46.71660098,6.548078475,47.1732778
224,Dmelanogaster,1,15,11,-52.53902388,16.90446503,55.19157516
225,Dmelanogaster,1,16,11,-40.63253701,-1.978918698,40.68069792
226,Dmelanogaster,1,17,11,-22.47089807,-52.68072951,57.27303486
227,Dmelanogaster,1,18,11,-24.99940154,-74.0871445,78.19127225
228,Dmelanogaster,1,19,11,-18.89893805,-80.19326024,82.39010164
229,Dmelanogaster,1,0,12,47.78720264,-26.74003247,54.75989475
230,Dmelanogaster,1,1,12,38.07405578,-21.74804316,43.8475895
231,Dmelanogaster,1,2,12,23.93295329,-42.97732134,49.19183268
232,Dmelanogaster,1,3,12,-11.60093715,36.39049831,38.19489639
233,Dmelanogaster,1,4,12,-14.66916849,-63.93464371,65.59590818
234,Dmelanogaster,1,5,12,38.14236496,-17.73028238,42.06189389
235,Dmelanogaster,1,6,12,-20.90172441,40.53696314,45.6084144
236,Dmelanogaster,1,7,12,37.1024885,-25.03572247,44.75915608
237,Dmelanogaster,1,8,12,8.539456964,-3.793205235,9.344021147
238,Dmelanogaster,1,9,12,50.70584496,-15.3943494,52.99121348
239,Dmelanogaster,1,10,12,33.43427855,-15.34282211,36.78658957
240,Dmelanogaster,1,11,12,40.06896435,22.91633496,46.1592928
241,Dmelanogaster,1,13,12,-22.05340527,-39.76146174,45.46786254
242,Dmelanogaster,1,14,12,-6.647636624,29.46441343,30.2050117
243,Dmelanogaster,1,15,12,-12.47005953,39.82079999,41.72767063
244,Dmelanogaster,1,16,12,-0.563572654,20.93741626,20.94499973
245,Dmelanogaster,1,17,12,17.59806629,-29.76439455,34.5776101
246,Dmelanogaster,1,18,12,15.06956282,-51.17080954,53.34363572
247,Dmelanogaster,1,19,12,21.17002631,-57.27692529,61.06403347
248,Dmelanogaster,1,0,13,69.84060791,13.02142927,71.04412807
249,Dmelanogaster,1,1,13,60.12746105,18.01341857,62.7677849
250,Dmelanogaster,1,2,13,45.98635855,-3.215859598,46.09866512
251,Dmelanogaster,1,3,13,10.45246812,76.15196005,76.86595547
252,Dmelanogaster,1,4,13,7.384236776,-24.17318197,25.27587148
253,Dmelanogaster,1,5,13,60.19577023,22.03117936,64.10073024
254,Dmelanogaster,1,6,13,1.151680859,80.29842488,80.30668345
255,Dmelanogaster,1,7,13,59.15589377,14.72573926,60.96119392
256,Dmelanogaster,1,8,13,30.59286223,35.9682565,47.21905013
257,Dmelanogaster,1,9,13,72.75925023,24.36711233,76.73111922
258,Dmelanogaster,1,10,13,55.48768382,24.41863963,60.62304031
259,Dmelanogaster,1,11,13,62.12236962,62.6777967,88.24791786
260,Dmelanogaster,1,12,13,22.05340527,39.76146174,45.46786254
261,Dmelanogaster,1,14,13,15.40576864,69.22587517,70.91938734
262,Dmelanogaster,1,15,13,9.58334574,79.58226173,80.15720116
263,Dmelanogaster,1,16,13,21.48983261,60.698878,64.39073455
264,Dmelanogaster,1,17,13,39.65147155,9.997067184,40.89230427
265,Dmelanogaster,1,18,13,37.12296809,-11.4093478,38.83668339
266,Dmelanogaster,1,19,13,43.22343158,-17.51546355,46.63750101
267,Dmelanogaster,1,0,14,54.43483927,-56.2044459,78.24379506
268,Dmelanogaster,1,1,14,44.7216924,-51.2124566,67.99077498
269,Dmelanogaster,1,2,14,30.58058991,-72.44173477,78.63191092
270,Dmelanogaster,1,3,14,-4.953300526,6.926084882,8.515035989
271,Dmelanogaster,1,4,14,-8.021531869,-93.39905714,93.74288692
272,Dmelanogaster,1,5,14,44.79000158,-47.19469581,65.06522538
